"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454238","7.11.12.1.2.1.4.2","58600","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454239","7.11.12.1.2.1.4.3","72800","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454256","7.11.12.1.3.1.4.2","64700","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454257","7.11.12.1.3.1.4.3","75300","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454274","7.11.12.2.1.1.4.2","58000","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454275","7.11.12.2.1.1.4.3","73800","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454292","7.11.12.2.2.1.4.2","57800","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454293","7.11.12.2.2.1.4.3","73800","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454310","7.11.12.2.3.1.4.2","73700","","","","0"
"2011","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454311","7.11.12.2.3.1.4.3","75900","","","","0"
